"TIPO_BINARIO","GAP_EDAD","TIPO_RELACION","HEC_AREA","VIC_SEXO","AGR_SEXO","VIC_TRABAJA","AGR_TRABAJA","HEC_DEPTO","VIC_GRUPET","Prediccion"
"PSICO_PATRIMONIAL",-45,"Familia","1","2","1","2","2","5","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-35,"Familia","2","1","1","1","1","22","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-20,"Familia","2","2","1","2","1","15","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-53,"Familia","2","1","1","2","2","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-40,"Familia","1","2","1","2","2","2","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-34,"Familia","1","1","1","1","2","18","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-24,"Familia","2","2","1","1","1","4","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-2,"Pareja","2","2","1","2","1","8","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-16,"Pareja","1","2","1","2","1","10","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-19,"Familia","1","2","2","2","2","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-15,"Familia","1","2","2","1","2","20","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-41,"Familia","2","1","2","1","1","14","5","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-14,"Familia","2","2","2","2","2","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-3,"Pareja","2","1","2","2","2","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",0,"Pareja","1","2","1","2","1","17","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-2,"Pareja","2","1","2","1","2","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-19,"Familia","1","2","1","2","1","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",0,"Familia","1","2","1","1","2","2","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-33,"Familia","2","2","1","2","1","22","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-38,"Familia","2","2","2","2","2","22","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-19,"Familia","1","2","2","2","2","1","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-21,"Familia","1","2","1","1","2","10","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-4,"Familia","2","2","2","1","2","22","6","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-45,"Familia","1","1","1","1","1","4","6","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-18,"Familia","2","2","1","1","1","4","6","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-34,"Familia","1","1","1","1","1","1","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-27,"Familia","2","1","2","1","2","22","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-22,"Familia","2","2","1","1","1","4","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-24,"Familia","1","2","2","2","1","18","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-20,"Familia","2","2","2","2","2","19","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-60,"Familia","2","1","1","1","1","4","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-7,"Familia","2","2","1","2","1","22","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-21,"Familia","1","1","1","1","1","7","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-64,"Familia","1","2","1","2","2","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-20,"Familia","1","2","2","2","1","4","6","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-26,"Familia","1","1","1","1","2","7","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-6,"Familia","1","1","2","1","2","20","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-41,"Familia","2","1","1","1","1","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-11,"Pareja","1","1","2","1","2","22","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-22,"Familia","1","2","1","2","1","13","1","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-4,"Pareja","1","1","2","1","2","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",0,"Pareja","2","2","1","2","1","4","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-2,"Pareja","2","1","2","2","2","5","1","FISICA_CONTACTO"
"FISICA_CONTACTO",2,"Pareja","1","2","1","2","1","4","2","FISICA_CONTACTO"
"FISICA_CONTACTO",1,"Pareja","2","2","1","2","1","4","6","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",2,"Pareja","2","2","1","2","1","4","6","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-2,"Pareja","1","2","1","2","1","4","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-3,"Pareja","1","2","1","1","1","3","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",1,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-5,"Pareja","1","1","2","1","2","13","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-1,"Pareja","2","1","2","1","2","18","5","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-32,"Familia","2","2","2","2","2","15","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-38,"Familia","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-1,"Pareja","2","2","1","2","1","15","1","FISICA_CONTACTO"
"FISICA_CONTACTO",-6,"Pareja","1","2","1","2","1","13","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-19,"Familia","2","2","1","2","1","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",1,"Pareja","1","2","1","2","1","17","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-20,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",0,"Pareja","1","2","1","1","1","18","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-25,"Familia","2","2","1","2","1","20","6","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-46,"Familia","1","2","1","2","2","11","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-34,"Familia","1","2","2","1","2","1","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-50,"Familia","2","2","2","2","2","5","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-1,"Familia","2","2","2","2","2","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-2,"Familia","1","2","1","2","1","2","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-29,"Familia","1","2","1","2","1","4","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-28,"Familia","1","2","1","2","1","5","6","FISICA_CONTACTO"
"FISICA_CONTACTO",-43,"Familia","2","1","1","1","1","8","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-16,"Familia","1","2","1","1","2","1","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-48,"Familia","2","2","1","1","2","22","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-31,"Familia","1","2","2","2","2","5","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-5,"Familia","2","2","1","2","1","20","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-25,"Familia","2","2","1","2","1","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-23,"Familia","2","1","1","2","2","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-23,"Familia","1","2","1","2","2","4","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-16,"Familia","1","2","1","2","1","18","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-47,"Familia","1","2","2","1","1","3","6","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-14,"Familia","2","1","1","1","2","10","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-50,"Familia","2","1","1","1","1","7","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-36,"Familia","1","2","1","1","1","1","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-5,"Familia","2","2","1","2","1","7","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-14,"Familia","1","2","1","2","1","4","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",2,"Pareja","1","2","1","2","1","4","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",2,"Pareja","1","2","1","2","1","7","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",1,"Pareja","2","2","1","2","1","12","1","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-4,"Pareja","2","2","1","2","1","8","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-8,"Pareja","2","1","2","1","2","11","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",2,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-8,"Pareja","2","1","2","1","2","16","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",3,"Pareja","1","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",4,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",2,"Pareja","2","2","1","2","2","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",2,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",0,"Familia","2","2","2","2","1","5","1","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",0,"Pareja","2","2","1","2","2","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-12,"Familia","1","2","1","2","1","17","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",4,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",2,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-14,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",3,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",4,"Pareja","2","2","1","2","1","18","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",4,"Pareja","1","2","1","2","2","15","1","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",0,"Pareja","2","2","1","2","1","4","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-19,"Familia","1","2","2","1","2","1","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-1,"Pareja","2","1","2","1","2","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-6,"Pareja","2","1","2","1","2","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",6,"Pareja","2","2","1","2","1","17","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",0,"Pareja","1","2","1","2","2","18","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-60,"Familia","1","2","1","2","2","3","6","FISICA_CONTACTO"
"FISICA_CONTACTO",-11,"Familia","1","1","2","1","2","3","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-15,"Familia","1","1","2","2","2","1","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-29,"Familia","1","2","1","1","1","1","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-41,"Familia","1","1","1","1","1","16","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-13,"Familia","2","2","2","2","2","7","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-20,"Familia","2","2","1","2","2","11","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-25,"Familia","2","2","1","2","2","21","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-34,"Familia","2","2","1","2","2","11","6","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-42,"Familia","1","2","2","2","2","7","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-67,"Familia","1","1","1","2","2","18","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-48,"Familia","1","1","1","1","2","1","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-57,"Familia","1","1","2","1","2","14","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-19,"Familia","1","2","2","1","1","16","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-4,"Pareja","2","1","2","1","2","2","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-7,"Pareja","1","2","1","2","1","10","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-39,"Pareja","1","2","1","2","1","2","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",2,"Pareja","2","2","1","2","1","10","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",1,"Familia","1","1","2","1","1","1","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-19,"Familia","1","1","1","1","2","3","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-45,"Familia","2","2","1","2","2","11","6","FISICA_CONTACTO"
"FISICA_CONTACTO",-1,"Pareja","2","2","1","2","1","14","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-3,"Pareja","1","2","1","2","1","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-3,"Pareja","1","2","1","2","1","12","1","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",3,"Pareja","1","1","2","1","2","13","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-16,"Pareja","2","1","2","1","2","20","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",0,"Pareja","1","2","1","2","1","17","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",4,"Pareja","2","2","1","2","1","1","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-3,"Familia","2","2","2","2","2","14","2","FISICA_CONTACTO"
"FISICA_CONTACTO",1,"Pareja","2","2","1","2","1","19","1","FISICA_CONTACTO"
"FISICA_CONTACTO",-14,"Pareja","1","2","1","2","1","10","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",1,"Pareja","2","2","1","2","1","14","2","FISICA_CONTACTO"
"FISICA_CONTACTO",2,"Pareja","1","2","1","2","1","15","1","FISICA_CONTACTO"
"FISICA_CONTACTO",2,"Pareja","2","2","1","2","2","15","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",1,"Pareja","1","1","2","1","2","3","6","FISICA_CONTACTO"
"FISICA_CONTACTO",-28,"Familia","1","2","1","1","1","1","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-9,"Familia","1","2","2","2","2","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",0,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",8,"Pareja","1","2","1","2","1","17","2","FISICA_CONTACTO"
"FISICA_CONTACTO",4,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",1,"Pareja","1","2","1","2","1","4","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",2,"Pareja","2","2","1","2","1","8","2","FISICA_CONTACTO"
"FISICA_CONTACTO",0,"Pareja","1","2","1","2","1","4","2","FISICA_CONTACTO"
"FISICA_CONTACTO",2,"Pareja","1","2","1","2","1","4","1","FISICA_CONTACTO"
"FISICA_CONTACTO",1,"Pareja","1","2","1","2","1","4","1","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-13,"Pareja","1","1","2","1","2","15","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-22,"Familia","2","1","1","1","1","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-4,"Pareja","1","1","2","1","2","14","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-54,"Familia","2","1","1","1","2","15","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-37,"Familia","1","1","1","1","2","1","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-21,"Familia","1","2","1","2","1","1","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-22,"Familia","1","2","1","2","1","1","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-5,"Familia","1","2","1","2","1","10","6","FISICA_CONTACTO"
"FISICA_CONTACTO",-54,"Familia","1","1","1","2","2","20","6","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-60,"Familia","1","2","1","2","2","5","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-23,"Familia","2","2","1","2","1","13","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-22,"Familia","2","2","1","2","1","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-21,"Familia","2","2","1","1","2","1","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-7,"Familia","2","1","1","1","1","22","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-27,"Familia","2","1","1","1","1","13","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-36,"Familia","1","1","1","1","1","1","1","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-20,"Familia","1","2","1","1","1","1","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-45,"Familia","1","2","1","2","1","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-19,"Familia","2","2","1","2","1","11","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-19,"Familia","2","2","1","2","1","14","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",7,"Familia","1","2","1","2","1","3","6","FISICA_CONTACTO"
"FISICA_CONTACTO",0,"Familia","2","2","2","2","2","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-5,"Familia","1","2","2","2","2","16","1","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-19,"Familia","1","2","1","1","2","16","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-49,"Familia","1","1","2","1","2","4","6","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-34,"Familia","1","1","1","1","2","18","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-22,"Familia","2","1","1","1","1","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-28,"Familia","1","2","2","1","2","15","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",5,"Familia","2","1","1","1","1","21","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-19,"Familia","1","2","2","1","2","4","6","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",2,"Familia","2","2","2","2","2","8","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",2,"Pareja","1","2","1","2","1","1","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",1,"Pareja","2","1","2","1","2","1","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",1,"Pareja","1","2","1","2","1","17","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-19,"Familia","2","2","2","2","2","16","2","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",0,"Pareja","2","2","1","2","1","13","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-1,"Pareja","1","2","1","2","1","4","2","FISICA_CONTACTO"
"FISICA_CONTACTO",3,"Pareja","2","2","1","2","1","11","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-2,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",2,"Pareja","1","2","1","2","1","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",2,"Pareja","2","2","1","2","1","11","1","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-1,"Pareja","2","2","1","2","1","3","1","FISICA_CONTACTO"
"FISICA_CONTACTO",-6,"Pareja","1","2","1","1","1","11","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-20,"Familia","1","1","1","1","1","4","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-4,"Pareja","1","1","2","1","2","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",4,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",1,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",3,"Pareja","2","2","1","2","1","4","6","FISICA_CONTACTO"
"FISICA_CONTACTO",1,"Pareja","1","2","1","2","1","17","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-14,"Familia","1","2","1","2","2","1","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-42,"Familia","1","2","2","2","2","5","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",-33,"Familia","2","2","1","2","1","20","5","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",2,"Pareja","2","2","1","2","1","22","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",0,"Pareja","1","2","1","2","1","12","1","FISICA_CONTACTO"
"FISICA_CONTACTO",3,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",0,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-2,"Pareja","1","2","1","2","1","8","2","FISICA_CONTACTO"
"FISICA_CONTACTO",4,"Pareja","2","2","1","2","1","10","6","FISICA_CONTACTO"
"FISICA_CONTACTO",1,"Pareja","2","2","1","2","1","5","1","FISICA_CONTACTO"
"FISICA_CONTACTO",4,"Pareja","2","2","1","2","1","5","1","FISICA_CONTACTO"
"FISICA_CONTACTO",1,"Pareja","2","2","1","1","1","4","6","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-2,"Pareja","1","1","2","1","2","16","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-3,"Pareja","2","2","1","1","1","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-4,"Pareja","2","1","2","1","2","5","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",1,"Pareja","1","2","1","2","1","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-3,"Pareja","1","2","1","2","1","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-6,"Pareja","2","1","2","1","2","15","1","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",-14,"Familia","1","2","1","2","2","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-1,"Pareja","2","2","1","2","1","14","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",0,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",4,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",5,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-7,"Pareja","1","2","1","2","1","10","2","PSICO_PATRIMONIAL"
"PSICO_PATRIMONIAL",0,"Pareja","2","2","1","2","1","4","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-1,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",-3,"Pareja","2","2","1","2","1","4","2","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",0,"Pareja","1","2","1","2","1","18","1","PSICO_PATRIMONIAL"
"FISICA_CONTACTO",1,"Pareja","2","2","1","2","1","4","2","FISICA_CONTACTO"
"FISICA_CONTACTO",3,"Pareja","2","2","1","2","1","20","1","FISICA_CONTACTO"
"PSICO_PATRIMONIAL",5,"Pareja","2","2","1","2","1","15","6","FISICA_CONTACTO"
"FISICA_CONTACTO",2,"Pareja","1","2","1","2","1","11","1","FISICA_CONTACTO"
"FISICA_CONTACTO",4,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",-1,"Pareja","2","2","1","2","1","15","1","FISICA_CONTACTO"
"FISICA_CONTACTO",-4,"Pareja","2","2","1","2","1","16","2","FISICA_CONTACTO"
"FISICA_CONTACTO",0,"Pareja","2","2","1","2","1","10","6","FISICA_CONTACTO"
